30537516	Member states
30474172	Partnership
30423015	Partnership
30518828	Partnership
30513588	Partnership
30572598	Partnership
30408437	Partnership
30455050	Partnership
30252935	Partnership
30341347	Partnership
30346411	Partnership
30169995	Partnership
30261424	Partnership
30111580	Partnership
30166577	Partnership
30102280	Partnership
30140205	Partnership
30016986	Partnership
29940786	Partnership
30040077	Partnership
30078640	Partnership
29868584	Partnership
29770116	Partnership
29729943	Partnership
29743643	Partnership
29253085	Partnership
29688805	Partnership
29849898	Partnership
29660442	Partnership
29650529	Partnership
29622675	Partnership
29566083	Partnership
29510106	Partnership
29516674	Partnership
29682156	Partnership
29468158	Partnership
29259079	Partnership
29330379	Partnership
29243856	Partnership
29507689	Partnership
30692907	Partnership
29161433	Partnership
29126285	Partnership
29140473	Partnership
